PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
-1034.6557756331745,14.053335353727846,13.452736653644829,-32.69704739533536,-8.341947164314714,9.619336787727319,-15.883611163373892,-6.754719797317428,-12.70388983853724,20.887094374231747
-200.3939312222708,38.35933147717641,2.764504930969048,-45.3911057603069,-21.120683321130798,21.39037683501983,-23.180240551959006,-10.126386590755217,-16.47349772719996,44.87397554736693
-476.78841876011813,-26.52719104231948,-74.95464423768198,-53.13360404607857,-17.773972429066603,29.005254169776443,-18.09824281978832,-10.224655979491414,32.47483576620401,-6.049471920276787
-746.2251859454941,-63.618141359455194,10.831407550663807,16.32925256390196,-8.697957846574063,11.159342469117465,-18.85885519232488,-8.854511517937004,21.053424722101436,-4.965504497433813
-776.1346388818155,56.54887400523059,10.669940672719063,-1.5137226875104801,-15.2891218873423,0.5185559789622101,-19.62239931959781,26.17968380333228,21.310067467171255,-6.9656513505169215
-574.0626217098059,74.08422357907894,-5.081739987577343,-9.608268744962366,39.96123311080085,-18.735750142228376,10.261643088744094,-13.800985258219853,29.633880318424314,-7.1264872476172885
376.5580990651838,-21.13118853659455,-1.9041269605651099,11.546352358579576,-21.597880303115733,-10.458665408618538,21.77513477472278,-19.0390231179608,-10.107702719605328,-5.198164094633149
145.18315154374136,-19.188154224108708,-120.5983572649498,37.91760821713011,-23.393775873215418,5.36654556052056,-26.5692394382867,43.93871250553357,-13.541336582280671,-4.034760426654955
-707.5063344342336,16.704263055150292,9.938745853436318,2.147566719918224,21.457568850096372,-27.987454406750352,6.908465009385353,-12.640629816507992,23.202253233296847,-6.122215548591661
1490.0891674176069,70.84576373164505,102.2686099888574,95.14925213577159,-21.96565087354202,14.882366684545861,-49.66044912910469,-21.192215585958728,13.264048678691893,-8.955216734093757
-913.2759346215199,13.718354279513704,-12.980347844215709,-10.448174504934805,-12.810078660676616,-17.225242352437597,4.882500383172655,-9.446574153206482,-10.670030679305532,-1.5710963763302717
49.758052868975255,-45.315181433177685,50.51661808687757,87.26271458394287,-10.27084867852437,40.02474472998001,-21.156547845500384,-11.732369999475607,-11.155961798337042,46.611695681897956
840.4725923013505,102.6468401324173,41.7121951588346,3.9794428630937517,-24.686950848283374,38.75962886551846,33.93915562702856,-23.0811468415401,-1.3238687653230805,-9.148521685779619
1685.038527089263,-169.2536604627534,60.77328226068392,-47.11984418217693,-20.245650606876172,-6.751072983121153,-54.365289088307094,-21.56401048715434,25.031401378094134,65.38851327678296
746.7525305431575,-32.45806819116819,-127.23987263316798,51.31573391453732,-23.706612062813516,31.19411483124101,41.27478181078032,45.68734520106101,-2.970319481768609,-10.965725268850436
-522.8081237793266,28.24794432835141,85.80537387193233,68.31870597991107,46.22485224912831,40.534282826729715,-16.251338741524112,-12.334516346955343,30.517238477083932,-8.933716175395197
-298.27359967137954,49.25345395595353,66.9797306409391,-28.005773027155563,-16.665872166075,19.604200503745595,-23.9981446931959,-11.358779802649423,-22.93225796036865,-1.845787780185304
483.41402024280023,-32.235510416646584,-115.66438173992807,-17.622516242608178,-25.817512561725945,17.404178869174704,-26.810215010262297,48.4224757839268,-1.6686142073187007,51.904567282716116
688.1358624581687,119.71915258877216,-0.5780547964599307,-13.663112620706634,39.686053434314026,-10.603296466404744,20.987609332771456,-22.03263907998674,-3.1062460662425835,-6.638289369589242
